county,early_votes,elected_party,total
APPLING,4992,R,14567
ATKINSON,1547,R,5293
BACON,3300,R,8259
BAKER,1013,R,2879
BALDWIN,14051,D,32914
BANKS,5323,R,14894
BARROW,23293,R,64142
BARTOW,28970,R,85951
BEN HILL,4672,R,11439
BERRIEN,4267,R,13363
BIBB,46737,D,126992
BLECKLEY,3636,R,10222
BRANTLEY,4116,R,13230
BROOKS,4284,R,12432
BRYAN,14593,R,37221
BULLOCH,16910,R,52278
BURKE,6109,R,18991
BUTTS,8135,R,20418
CALHOUN,1511,D,4062
CAMDEN,13689,R,39741
CANDLER,3032,R,7833
CARROLL,29783,R,94320
CATOOSA,19470,R,55543
CHARLTON,2489,R,7810
CHATHAM,85812,D,242503
CHATTAHOOCHEE,940,R,2643
CHATTOOGA,5292,R,16467
CHEROKEE,83048,R,255714
CLARKE,37933,D,92408
CLAY,1040,D,2621
CLAYTON,87517,D,205876
CLINCH,1581,R,4909
COBB,261158,D,717252
COFFEE,9402,R,26431
COLQUITT,8636,R,28110
COLUMBIA,51622,R,144297
COOK,4401,R,12412
COWETA,42295,R,134590
CRAWFORD,3920,R,10736
CRISP,5563,R,14273
DADE,4125,R,12696
DAWSON,11373,R,28776
DECATUR,7263,R,20093
DEKALB,316089,D,698722
DODGE,4402,R,14357
DOOLY,2650,R,7484
DOUGHERTY,23174,D,64204
DOUGLAS,52542,D,124741
EARLY,3076,R,9099
ECHOLS,886,R,2373
EFFINGHAM,17353,R,55646
ELBERT,5619,R,16027
EMANUEL,5174,R,16710
EVANS,2937,R,7477
FANNIN,9093,R,26888
FAYETTE,54401,R,134792
FLOYD,24069,R,71577
FORSYTH,92036,R,230337
FRANKLIN,6262,R,18379
FULTON,426606,D,977502
GILMER,9841,R,29656
GLASCOCK,899,R,2728
GLYNN,30161,R,74881
GORDON,12385,R,40706
GRADY,6538,R,18656
GREENE,8999,R,21233
GWINNETT,298270,D,739703
HABERSHAM,14513,R,36050
HALL,56825,R,158054
HANCOCK,3150,D,7674
HARALSON,6949,R,24322
HARRIS,11299,R,36575
HART,8044,R,22406
HEARD,2761,R,9353
HENRY,91681,D,218780
HOUSTON,51206,R,132780
IRWIN,2617,R,7233
JACKSON,23483,R,65161
JASPER,4759,R,13603
JEFF DAVIS,3224,R,10166
JEFFERSON,4822,D,13852
JENKINS,2293,R,6230
JOHNSON,2530,R,7149
JONES,8776,R,26669
LAMAR,5156,R,15969
LANIER,2234,R,6068
LAURENS,12819,R,40485
LEE,9943,R,29787
LIBERTY,15406,D,36647
LINCOLN,3020,R,8437
LONG,3066,R,9271
LOWNDES,30824,R,79670
LUMPKIN,11093,R,27396
MACON,3390,D,8539
MADISON,8774,R,26402
MARION,2210,R,6426
MCDUFFIE,7488,R,18467
MCINTOSH,4780,R,11886
MERIWETHER,6401,R,19689
MILLER,1732,R,4904
MITCHELL,5684,R,15724
MONROE,9909,R,28226
MONTGOMERY,2094,R,7045
MORGAN,8052,R,21652
MURRAY,7989,R,25993
MUSCOGEE,62050,D,143023
NEWTON,36129,D,97614
OCONEE,18672,R,47079
OGLETHORPE,5583,R,14440
PAULDING,56831,R,147909
PEACH,9152,R,22103
PICKENS,8040,R,30293
PIERCE,5832,R,15855
PIKE,6145,R,19270
POLK,11004,R,29701
PULASKI,2942,R,7363
PUTNAM,8625,R,21669
QUITMAN,694,R,2023
RABUN,7264,R,16808
RANDOLPH,2268,D,5929
RICHMOND,59905,D,154492
ROCKDALE,34826,D,81424
SCHLEY,1520,R,4114
SCREVEN,4033,R,11840
SEMINOLE,2170,R,6998
SPALDING,21819,R,53849
STEPHENS,8460,R,20071
STEWART,1338,D,3605
SUMTER,9049,D,22156
TALBOT,2280,D,6375
TALIAFERRO,631,D,1692
TATTNALL,4852,R,14431
TAYLOR,2588,R,6941
TELFAIR,2703,R,7690
TERRELL,2990,D,8247
THOMAS,15251,R,38457
TIFT,10383,R,28825
TOOMBS,7092,R,18797
TOWNS,6203,R,14470
TREUTLEN,2098,R,5419
TROUP,18761,R,52598
TURNER,2635,R,6822
TWIGGS,2672,R,7871
UNION,10453,R,28357
UPSON,8578,R,22359
WALKER,15959,R,48304
WALTON,32664,R,90977
WARE,8483,R,24411
WARREN,2062,D,4933
WASHINGTON,6230,D,17071
WAYNE,7345,R,22424
WEBSTER,928,R,2510
WHEELER,1310,R,4017
WHITE,9385,R,26583
WHITFIELD,18789,R,63474
WILCOX,1745,R,5699
WILKES,3391,R,9066
WILKINSON,2433,R,8625
WORTH,4981,R,16564
